original,matched,method,country
Älvkarleby kommun,Älvkarleby,suffix,SE
Sollefteå kommun,Sollefteå,suffix,SE
Åtvidaberg kommun,Åtvidaberg,suffix,SE
Övertorneå kommun,Övertorneå,suffix,SE
Svalöv kommun,Svalöv,suffix,SE
Staffanstorp kommun,Staffanstorp,suffix,SE
Emmaboda kommun,Emmaboda,suffix,SE
Kalix kommun,Kalix,suffix,SE
Säffle kommun,Säffle,suffix,SE
Salem kommun,Jerusalem,suffix,SE
Vaggeryd kommun,Vaggeryd,suffix,SE
Älvdalen kommun,Älvdalen,suffix,SE
Gislaved kommun,Gislaved,suffix,SE
Höganäs kommun,Höganäs,fuzzy,SE
Bengtsfors kommun,Bengtsfors,fuzzy,SE
Kungsbacka kommun,Kungsbacka,suffix,SE
Falköping kommun,Falköping,suffix,SE
Markaryd kommun,Markaryd,suffix,SE
Skinnskatteberg kommun,Skinnskatteberg,suffix,SE
Hallsberg kommun,Hallsberg,suffix,SE
Nyköping kommun,Nyköping,suffix,SE
Värnamo kommun,Värnamo,suffix,SE
Lerum kommun,Lerum,suffix,SE
Skurup kommun,Skurup,suffix,SE
Bräcke kommun,Bräcke,suffix,SE
Höör kommun,Höör,suffix,SE
Lysekil kommun,Lysekil,suffix,SE
Gothenburg kommun,Gothenburg,suffix,SE
Ludvika kommun,Ludvika,suffix,SE
Degerfors kommun,Degerfors,fuzzy,SE
Nässjö kommun,Nässjö,suffix,SE
Flen kommun,Flen,suffix,SE
Götene kommun,Götene,suffix,SE
Partille kommun,Partille,suffix,SE
Surahammar kommun,Surahammar,suffix,SE
Vellinge kommun,Vellinge,suffix,SE
Bjuv kommun,Bjuv,suffix,SE
Hörby kommun,Hörby,suffix,SE
Tranemo kommun,Tranemo,suffix,SE
Arjeplog kommun,Arjeplog,suffix,SE
Kungälv kommun,Kungälv,suffix,SE
Finspång kommun,Finspång,suffix,SE
Eda kommun,Aydat,suffix,SE
Södertälje kommun,Södertälje,suffix,SE
Haparanda kommun,Haparanda,suffix,SE
Bollebygd kommun,Bollebygd,suffix,SE
Svenljunga kommun,Svenljunga,suffix,SE
Vimmerby kommun,Vimmerby,suffix,SE
Landskrona kommun,Landskrona,suffix,SE
Sandviken kommun,Sandviken,suffix,SE
Stenungsund kommun,Stenungsund,suffix,SE
Timrå kommun,Timrå,suffix,SE
Karlshamn kommun,Karlshamn,suffix,SE
Köping kommun,Köping,suffix,SE
Sävsjö kommun,Sävsjö,suffix,SE
Alvesta kommun,Alvesta,suffix,SE
Söderköping kommun,Söderköping,suffix,SE
Karlskoga kommun,Karlskoga,suffix,SE
Trosa kommun,Trosa,suffix,SE
Gullspång kommun,Gullspång,suffix,SE
Lindesberg kommun,Lindesberg,suffix,SE
Oxelösund kommun,Oxelösund,suffix,SE
Tanum kommun,Tanumshede,suffix,SE
Tidaholm kommun,Tidaholm,suffix,SE
Lidköping kommun,Lidköping,suffix,SE
Grästorp kommun,Grästorp,suffix,SE
Nynäshamn kommun,Nynäshamn,suffix,SE
Kungsör kommun,Kungsör,suffix,SE
Aneby kommun,Aneby,suffix,SE
Vansbro kommun,Vansbro,suffix,SE
Klippan kommun,Klippan,suffix,SE
Kil kommun,Kil,suffix,SE
Arboga kommun,Arboga,suffix,SE
Färgelanda kommun,Färgelanda,suffix,SE
Älvsbyn kommun,Älvsbyn,suffix,SE
Strömsund kommun,Strömsund,suffix,SE
Trelleborg kommun,Trelleborg,suffix,SE
Kalmar kommun,Kalmar,suffix,SE
Smedjebacken kommun,Smedjebacken,suffix,SE
Munkfors kommun,Munkfors,fuzzy,SE
Valdemarsvik kommun,Valdemarsvik,suffix,SE
Dorotea kommun,Dorotea,suffix,SE
Bollnäs kommun,Bollnäs,fuzzy,SE
Norberg kommun,Norberg,suffix,SE
Gnesta kommun,Gnesta,suffix,SE
Ockelbo kommun,Ockelbo,suffix,SE
Arvidsjaur kommun,Arvidsjaur,suffix,SE
Högsby kommun,Högsby,suffix,SE
Mullsjö kommun,Mullsjö,suffix,SE
Hallstahammar kommun,Hallstahammar,suffix,SE
Eksjö kommun,Eksjö,suffix,SE
Kristinehamn kommun,Kristinehamn,suffix,SE
Ljusdal kommun,Ljusdal,suffix,SE
Mark kommun,Mark,suffix,SE
Hjo kommun,Hjo,suffix,SE
Vaxholm kommun,Vaxholm,suffix,SE
Håbo kommun,Habo,suffix,SE
Strömstad kommun,Strömstad,suffix,SE
Hässleholm kommun,Hässleholm,suffix,SE
Boden kommun,Boden,suffix,SE
Malå kommun,Malå,suffix,SE
Hagfors kommun,Hagfors,fuzzy,SE
Huddinge kommun,Huddinge,suffix,SE
Åsele kommun,Åsele,suffix,SE
Laholm kommun,Laholm,suffix,SE
Mjölby kommun,Mjölby,suffix,SE
Vänersborg kommun,Vänersborg,suffix,SE
Upplands_Väsby kommun,Upplands Väsby,suffix,SE
Ödeshög kommun,Ödeshög,suffix,SE
Skara kommun,Skara,suffix,SE
Solna kommun,Solna,suffix,SE
Nybro kommun,Nybro,suffix,SE
Mellerud kommun,Mellerud,suffix,SE
Tierp kommun,Tierp,suffix,SE
Storfors kommun,Storfors,fuzzy,SE
Hultsfred kommun,Hultsfred,suffix,SE
Kramfors kommun,Kramfors,fuzzy,SE
Strängnäs kommun,Strängnäs,fuzzy,SE
Vårgårda kommun,Vårgårda,suffix,SE
Vännäs kommun,Vännäs,fuzzy,SE
Borgholm kommun,Borgholm,suffix,SE
Hedemora kommun,Hedemora,suffix,SE
Tjörn kommun,Jörn,fuzzy,SE
Lycksele kommun,Lycksele,suffix,SE
Vilhelmina kommun,Vilhelmina,suffix,SE
Borlänge kommun,Borlänge,suffix,SE
Svedala kommun,Svedala,suffix,SE
Härryda kommun,Härryda,suffix,SE
Öckerö kommun,Öckerö,suffix,SE
Robertsfors kommun,Robertsfors,fuzzy,SE
Mönsterås kommun,Mönsterås,fuzzy,SE
Töreboda kommun,Töreboda,suffix,SE
Tomelilla kommun,Tomelilla,suffix,SE
Heby kommun,Heby,suffix,SE
Åstorp kommun,Åstorp,suffix,SE
Örnsköldsvik kommun,Örnsköldsvik,suffix,SE
Bromölla kommun,Bromölla,suffix,SE
Haninge kommun,Haninge,suffix,SE
Sölvesborg kommun,Sölvesborg,suffix,SE
Mariestad kommun,Mariestad,suffix,SE
Åre kommun,Åre,suffix,SE
Ulricehamn kommun,Ulricehamn,suffix,SE
Herrljunga kommun,Herrljunga,suffix,SE
Knivsta kommun,Knivsta,suffix,SE
Lomma kommun,Lomma,suffix,SE
Danderyd kommun,Danderyd,suffix,SE
Sundbyberg kommun,Sundbyberg,suffix,SE
Ekerö kommun,Ekerö,suffix,SE
Gagnef kommun,Gagnef,suffix,SE
Uddevalla kommun,Uddevalla,suffix,SE
Tingsryd kommun,Tingsryd,suffix,SE
Falkenberg kommun,Falkenberg,suffix,SE
Eslöv kommun,Eslöv,suffix,SE
Leksand kommun,Leksand,suffix,SE
Vadstena kommun,Vadstena,suffix,SE
Hammarö kommun,Hammar,fuzzy,SE
Nykvarn kommun,Nykvarn,suffix,SE
Örkelljunga kommun,Örkelljunga,suffix,SE
Enköping kommun,Enköping,suffix,SE
Överkalix kommun,Överkalix,suffix,SE
Storuman kommun,Storuman,suffix,SE
Katrineholm kommun,Katrineholm,suffix,SE
Rättvik kommun,Rättvik,suffix,SE
Sollentuna kommun,Sollentuna,suffix,SE
Lessebo kommun,Lessebo,suffix,SE
Berg kommun,Berg,suffix,SE
Avesta kommun,Avesta,suffix,SE
Ronneby kommun,Ronneby,suffix,SE
Vallentuna kommun,Vallentuna,suffix,SE
Sorsele kommun,Sorsele,suffix,SE
Säter kommun,Säter,suffix,SE
Vindeln kommun,Vindeln,suffix,SE
Varberg kommun,Varberg,suffix,SE
Ale kommun,Nakhon Ratchasima,suffix,SE
Anwil,Andwil,fuzzy,CH
Bachs,Bäch,fuzzy,CH
Boningen,Bönigen,fuzzy,CH
Boswil,Bowil,fuzzy,CH
Dittingen,Deitingen,fuzzy,CH
Echarlens,Echallens,fuzzy,CH
Inkwil,Inwil,fuzzy,CH
Kemmental,Hemmental,fuzzy,CH
Lonay,Blonay,fuzzy,CH
Maschwanden,Schwanden,fuzzy,CH
Meltingen,Mellingen,fuzzy,CH
Mont-la-Ville,Pont-la-Ville,fuzzy,CH
Oberbüren,Oberurnen,fuzzy,CH
Oeschenbach,Eschenbach,fuzzy,CH
Orges,Morges,fuzzy,CH
Rivaz,Riaz,fuzzy,CH
Rümlingen,Rümligen,fuzzy,CH
Saules,Sâles,fuzzy,CH
Schwarzenburg,Schwarzenberg,fuzzy,CH
Syens,Yens,fuzzy,CH
Teuffenthal,Teufenthal,fuzzy,CH
Torny,Orny,fuzzy,CH
Uezwil,Uzwil,fuzzy,CH
Unterbäch,Luterbach,fuzzy,CH
Ursins,Bursins,fuzzy,CH
Walperswil,Walterswil,fuzzy,CH
Zeiningen,Weiningen,fuzzy,CH
Puli Township,Puli,suffix,TW
Dongshih Township,Dongshi,suffix,TW
Jiji Township,Jiji,suffix,TW
Jhongliao Township,Zhongliao,suffix,TW
Taibao City,Taibao,suffix,TW
Wufeng Township,Wufeng,suffix,TW
Emei Township,Suishan,suffix,TW
Dacheng Township,Dacheng,suffix,TW
Jincheng Township,Jincheng,suffix,TW
Caotun Township,Caotun,suffix,TW
Donggang Township,Donggang,suffix,TW
Hsichou Township,Xizhou,suffix,TW
Fenyuan Township,Fengyuan,fuzzy,TW
Hengshan Township,Hengshan,suffix,TW
Hsinchu City,Hsinchu,suffix,TW
Checheng Township,Zhecheng Chengguanzhen,suffix,TW
Fangshan Township,Fangshan,suffix,TW
Xihu Township,Xihu,suffix,TW
Zhubei City,Zhubei,suffix,TW
Zhunan Township,Ningnan,suffix,TW
Cihtong Township,Citong,suffix,TW
Shenkang Township,Shengang,suffix,TW
Ji'an Township,Ji’an,suffix,TW
Datong Township,Datong,suffix,TW
Magong City,Magong,suffix,TW
Xiulin Township,Xiulin,suffix,TW
Dahu Township,Dahu,suffix,TW
Chihshang Township,Chishang,suffix,TW
Dounan Township,Denain,suffix,TW
Tai-an Township,Tai’an,suffix,TW
Hengchun Township,Hengchun,suffix,TW
Tianzhong Township,Tianzhong,suffix,TW
Zhudong Township,Zhudong,suffix,TW
Sanyi Township,Sanyi,suffix,TW
Baisha Township,Kampong Pasir Ris,suffix,TW
Su'ao Township,Su’ao,suffix,TW
Erhshui Township,Ershui,suffix,TW
Shizi Township,Shizi,suffix,TW
Yuanshan Township,Yuanshan,suffix,TW
Xianxi Township,Xianxi,suffix,TW
Wangan Township,Wañgan,suffix,TW
Wanrong Township,Xiedian,suffix,TW
Erhlin Township,Erlin,suffix,TW
Zhuqi Township,Zhuqi,suffix,TW
Jinning Township,Kunyang,suffix,TW
Hukou Township,Hukou,suffix,TW
Jinsha Township,Jinsha,suffix,TW
Dongyin Township,Dongyin,suffix,TW
Kouhu Township,Kofu,suffix,TW
Jinfeng Township,Jinfeng,suffix,TW
Ligang Township,Toyooka,suffix,TW
Yuanli Township,Yuanlin,fuzzy,TW
Mudan Township,Mudan,suffix,TW
Shitan Township,Shitan,suffix,TW
Chaojhou Township,Chaozhou,suffix,TW
Siluo Township,Xiluo,suffix,TW
Jiadong Township,Katō,suffix,TW
Tianwei Township,Tianwei,suffix,TW
Wutai Township,Taicheng,suffix,TW
Toufen City,Toufen,suffix,TW
Yizhu Township,Ghulja,suffix,TW
Baoshan Township,Baoshan,suffix,TW
Xiyu Township,Xiyu,suffix,TW
Sanxing Township,Sanxing,suffix,TW
Guanshan Township,Guanshan,suffix,TW
Chutang Township,Zhutang,suffix,TW
Linnei Township,Linnei,suffix,TW
Chenggong Township,Longcheng,suffix,TW
Lugu Township,Lugu,suffix,TW
Budai Township,Budai,suffix,TW
Huatan Township,Huatan,suffix,TW
Hsiushui Township,Yining,suffix,TW
Dapu Township,Tai Po,suffix,TW
Beigang Township,Beigang,suffix,TW
Fuxing Township,Fuxing,suffix,TW
Yuli Township,Yuli,suffix,TW
Nanzhuang Township,Nanzhuang,suffix,TW
Taihsi Township,Daixi,suffix,TW
Dacun Township,Ōmura,suffix,TW
Ruisui Township,Mizuho,suffix,TW
Jiaoxi Township,Jiaoxi,suffix,TW
Xikou Township,Xikou,suffix,TW
Beigan Township,Beigang,fuzzy,TW
Beidou Township,Beidou,suffix,TW
Guanxi Township,Guanxi,suffix,TW
Fenglin Township,Fenglin,suffix,TW
Jinhu Township,Jinhu,suffix,TW
Guangfu Township,Guangfu,suffix,TW
Laiyi Township,Rye,suffix,TW
Changhua City,Chang-hua,suffix,TW
Shetou Township,Shetou,suffix,TW
Puzi City,Buzi,suffix,TW
Xinfeng Township,Xinfeng,suffix,TW
Huxi Township,Kosai,suffix,TW
Majia Township,Maggia,suffix,TW
Yuanlin City,Yuanlin,suffix,TW
Gongguan Township,Gongguan,suffix,TW
Hsinchu City,Hsinchu,suffix,TW
Jianshi Township,Ji’an,suffix,TW
Taitung City,Taitung,suffix,TW
Xingang Township,Xingang,suffix,TW
Pitou Township,Pitou,suffix,TW
Donghe Township,Donghe,suffix,TW
Huwei Township,Huwei,suffix,TW
Lieyu Township,Lieyu,suffix,TW
Jhushan Township,Zhushan,suffix,TW
Xincheng Township,Xincheng,suffix,TW
Dongshi Township,Dongshi,suffix,TW
Wujie Township,Wujie,suffix,TW
Lukang Township,Lugang,suffix,TW
Douliou City,Douliu,suffix,TW
Dongshan Township,Dongshan,suffix,TW
Yanping Township,Encheng,suffix,TW
Xinpu Township,Xinpu,suffix,TW
Dawu Township,Daya,suffix,TW
Miaoli City,Miaoli,suffix,TW
Fuli Township,Phủ Lý,suffix,TW
Nan'ao Township,Nanao,suffix,TW
Meishan Township,Meishan,suffix,TW
Puyan Township,Puyang Chengguanzhen,suffix,TW
Nangan Township,Nangan,suffix,TW
Luodong Township,Luodong,suffix,TW
Echo Lakes,Echo Lake,fuzzy,US
Mt. Hamilton,Hamilton,fuzzy,US
Oro Grande,Rio Grande City,fuzzy,US
Markleeville,Cloverdale,fuzzy,US
La Canada Flintrige,La Cañada Flintridge,fuzzy,US
Helendale,Ellendale,fuzzy,US
Hinkley,Hinckley,fuzzy,US
Canyon Dam,Canyon Day,fuzzy,US
Pope Valley,Hope Valley,fuzzy,US
Acampo,Campo,fuzzy,US
Old River,Gold River,fuzzy,US
Bakesrfield,Bakersfield,fuzzy,US
Twain Hatre,Twain Harte,fuzzy,US
Fiddletown,Middletown,fuzzy,US
Sierra City,Sierra Papacal,suffix,US
Alleghany,Allegany,fuzzy,US
Freestone,Firestone,fuzzy,US
Calpine,Alpine,fuzzy,US
Ravendale,Ravensdale,fuzzy,US
Maybe,Maybee,fuzzy,US
So Lake Tahoe,South Lake Tahoe,fuzzy,US
Ca Hot Springs,Hot Springs,fuzzy,US
St. Croix Falls,Saint Croix Falls,fuzzy,US
Bordentown City,Bordentown,suffix,US
Burlington City,Burlington,suffix,US
Calion,Califon,fuzzy,US
Corbin City,Corbin,suffix,US
Sand City,Sand,suffix,US
